number,high2019,high2020,high2021,mean
193,39.3012121,36.93409063,32.19105837,36.14212037
194,35.5215149,34.25969711,27.17439445,32.31853549
195,34.68090879,34.83197049,28.46015069,32.65767666
196,37.68272931,33.7898497,32.32060393,34.59772765
197,36.43757574,34.15075791,36.75015165,35.7794951
198,33.94818161,35.46136285,38.78015138,36.06323195
199,36.25378777,35.99151291,37.06121167,36.43550412
200,37.9483335,37.65863617,37.45121179,37.68606049
201,37.91393982,38.21818211,37.03424125,37.72212106
202,37.9895441,37.5436368,37.62454454,37.71924181
203,37.46030311,35.91621235,37.96469678,37.11373741
204,39.46333344,34.35257572,35.32015243,36.3786872
205,38.78924371,37.17424102,33.47015677,36.4778805
206,37.03439854,37.43545332,31.75272925,35.40752704
207,31.46303024,38.30196979,30.00848702,33.25782902
208,28.9656058,40.79106087,33.67924083,34.47863583
209,31.5565155,41.41136521,37.39742338,36.7884347
210,33.48515114,36.90894053,38.28863414,36.22757527
211,32.48121199,38.84772578,35.18439415,35.50444397
212,35.134849,40.86621112,27.79697128,34.5993438
213,34.54545375,39.68969677,27.73772702,33.99095918
214,35.92469503,39.62182256,30.46257173,35.33636311
215,37.26257591,36.45454504,32.26575796,35.3276263
216,37.77545461,32.7880301,33.31424159,34.62590877
217,37.67393882,34.04136192,36.9183295,36.21121008
218,35.78060544,35.58030207,34.09106275,35.15065675
219,31.39651493,37.03090905,29.9660606,32.79782819
220,35.09333122,38.74590482,32.40590966,35.41504857
221,33.64606013,39.19878792,35.10030258,35.98171688
222,32.497418,39.24392753,36.42954393,36.05696315
223,29.48712495,31.58394044,38.7375735,33.2695463
224,27.56939371,26.37060428,38.82317625,30.92105808
225,29.89969685,28.13257835,43.11681796,33.71636439
226,33.50242465,31.98590893,43.60393918,36.36409092
227,35.87347762,32.97333933,42.16182076,37.00287924
228,37.73408862,29.60500242,37.31666862,34.88525322
229,38.26803066,28.46075736,34.41181876,33.71353559
230,36.0940908,29.85636374,35.0006066,33.65035371
231,32.88030775,32.43075707,34.35181759,33.2209608
232,30.84848533,34.25969706,34.47772605,33.19530281
233,30.51303202,34.81515181,36.55560553,33.96126312
234,32.23287524,33.31894424,38.23121491,34.5943448
235,33.61303153,34.11772468,37.56939197,35.10004939
236,35.12727665,33.0731811,33.16515086,33.7885362
237,33.28424589,33.61908566,32.2878792,33.06373692
238,28.14151635,36.09332442,33.15863563,32.46449213
239,27.65272858,39.40454706,34.52060903,33.85929489
240,31.43818285,38.84923874,33.45212344,34.57984834
241,34.40349131,31.99682677,32.63257463,33.01096424
242,33.67212338,23.30954737,32.37242744,29.7846994
243,32.32530311,22.85545472,31.64772602,28.94282795
244,33.139851,26.58196645,26.10984549,28.61055431
245,32.95272862,28.56181772,25.84090888,29.11848507
246,35.41364429,29.40135621,28.25817747,31.02439266
247,32.98985225,31.71544864,30.85802854,31.85444314
248,26.70166475,33.45302749,33.09151424,31.08206883
249,27.48984964,35.09393883,35.1268177,32.57020206
250,29.57181861,33.44455126,33.91531994,32.31056327
251,30.60621363,27.50181824,27.1403024,28.41611142
252,29.19954521,27.05181809,26.68605966,27.64580765
253,24.04045118,28.54408993,27.49379279,26.69277797
254,27.76818502,31.31242267,29.79121327,29.62394032
255,28.74757844,33.25984971,32.51560497,31.50767771
256,22.85651993,32.80530459,26.51667565,27.39283339
257,21.91242919,31.80302602,21.16878675,24.96141399
258,20.92394363,30.43757705,24.7137893,25.35843666
259,26.04272486,30.38833125,26.21211711,27.54772441
260,28.57076048,31.94287244,27.95606051,29.48989781
261,28.93378734,26.74817752,26.88393575,27.52196687
262,29.10000506,20.54621544,25.75636441,25.13419497
263,25.41075737,19.5715165,22.99833481,22.66020289
264,22.26242441,22.72909204,22.87272843,22.62141496
265,23.73015163,25.14242481,24.89969548,24.59075731
266,24.5551516,25.53030374,26.2616647,25.44904001
267,27.25743131,25.12727765,24.07379017,25.48616638
268,25.3624279,22.76288824,21.90938714,23.34490109
269,27.42666675,20.47923917,24.88257589,24.26282727
270,28.08195737,21.3193938,27.16939737,25.52358285
271,29.28514859,21.28665895,25.25151384,25.27444046
272,30.96788122,24.04954363,24.75606062,26.59116182
273,30.21954724,26.97621435,25.46333142,27.553031
274,26.83727461,27.76743273,26.22864253,26.94444996
275,23.76318315,22.77150882,25.53726391,24.02398529
276,25.78288023,17.7550072,19.72182325,21.08657023
277,28.58712151,17.51894117,20.05939399,22.05515222
278,27.30833255,18.47757677,23.08272491,22.95621141
279,27.93999959,20.24423836,24.02454088,24.06959294
280,29.48803229,25.18423461,27.79181847,27.48802846
281,30.00060948,26.43848691,27.60681897,28.01530512
282,27.97136352,27.24575815,26.11030507,27.10914225
283,26.97559899,27.28727651,23.23363598,25.83217049
284,27.6418087,22.61015118,22.44333082,24.23176357
285,28.55409401,18.5622745,24.28545196,23.80060682
286,25.40394996,20.32999896,26.22833409,23.98742767
287,20.28514944,22.88893553,24.73151571,22.63520023
288,17.02727138,17.27879397,24.37637629,19.56081388
289,18.34181202,16.41212541,20.73166219,18.49519987
290,17.77515039,15.8322729,22.35091303,18.65277877
291,20.92530685,18.99016149,24.15106576,21.35551137
292,17.94833602,22.36393885,25.64818179,21.98681889
293,15.18682957,22.89757897,25.0583397,21.04758275
294,14.70529624,20.29500153,21.90045319,18.96691699
295,11.26848369,19.92378749,20.15166497,17.11464538
296,10.87378271,16.6818139,19.7977245,15.78444037
297,16.87544363,15.15105849,20.6051468,17.54388297
298,21.43074573,16.34560312,21.4045439,19.72696425
299,23.44378934,16.12727524,21.95182174,20.50762877
300,22.92666849,13.73045023,21.32878258,19.32863377
301,21.07591133,15.51290126,19.5277264,18.705513
302,17.34272304,12.43469806,16.0596835,15.27903487
303,19.41985466,15.29395184,19.60439546,18.10606732
304,22.43878629,18.5444234,21.43014785,20.80445251
305,21.08484859,23.01151475,17.57818065,20.55818133
306,19.53696918,23.1048529,14.16014851,18.9339902
307,17.54060532,20.04955015,12.86394467,16.81803338
308,17.73666602,13.23196684,11.89984928,14.28949405
309,16.15197031,12.2877327,12.0175754,13.48575947
310,14.74014805,16.02772937,14.67999729,15.14929157
311,13.58849783,19.94092383,15.6736327,16.40101812
312,13.0480527,14.47743399,18.95819012,15.49455894
313,11.18454616,9.13438841,17.55212219,12.62368559
314,10.60574667,15.38651147,16.79060181,14.26095332
315,12.80561371,17.27090912,17.38878947,15.82177077
316,15.27817947,15.50485197,18.83030057,16.53777734
317,16.84106154,14.50333112,18.02848936,16.45762734
318,10.63909051,15.21848576,17.41787662,14.42515096
319,9.00772635,13.92363683,14.91621717,12.61586012
320,10.77363526,17.78440641,13.95742505,14.17182224
321,9.57924315,16.87909048,14.46090053,13.63974472
322,10.90833344,14.98288108,14.72197143,13.53772865
323,9.94999462,14.44652088,16.04333701,13.47995084
324,9.03318268,20.83151701,14.57242557,14.81237509
325,10.15939228,16.81636365,14.62136104,13.86570566
326,11.48772426,14.97484846,7.64393711,11.36883661
327,11.82529069,14.39469888,6.11908493,10.7796915
328,14.32758,15.46226876,8.90758155,12.89914344
329,16.79939002,12.80454877,11.26984207,13.62459362
330,13.40181691,13.21423929,9.82227131,12.14610917
331,13.09090268,13.06545814,8.38469109,11.51368397
332,13.44439809,11.06711851,11.43121361,11.98091007
333,16.03515688,9.30952894,15.15182639,13.4988374
334,15.37834041,12.540455,12.42590015,13.44823185
335,9.6056145,15.61423684,9.6966683,11.63883988
336,10.09151505,16.28651544,10.00878641,12.12893897
337,9.87272463,11.39622683,12.46908345,11.24601164
338,12.04347634,8.44378771,13.74636258,11.41120888
339,13.34408708,7.29181725,13.64303885,11.42631439
340,13.99181382,8.03243247,14.89850849,12.30758493
341,12.41772276,9.11878967,11.17636413,10.90429219
342,7.59954689,11.75273439,10.5801565,9.97747926
343,9.87212074,9.43620844,13.85605906,11.05479608
344,5.86651732,9.91608086,17.62484058,11.13581292
345,8.83954506,15.0331964,17.01454893,13.6290968
346,10.71546127,17.54030553,14.37757948,14.21111543
347,15.10833406,14.77302607,15.58818393,15.15651469
348,12.0855871,12.53243105,17.64863551,14.08888455
349,13.72667619,11.72652071,16.69030379,14.04783356
350,15.1168463,5.63089315,13.17636866,11.30803604
351,11.10091641,12.37257945,12.82183561,12.09844382
352,8.54574387,14.21742428,11.35364083,11.37226966
353,12.796824,9.56272705,11.44575758,11.26843621
354,15.2018133,8.63772346,9.73031353,11.1899501
355,16.85000571,11.90076375,12.7259116,13.82556035
356,13.43590763,8.73818128,14.38606769,12.18671887
357,13.41908444,9.76424017,12.32955818,11.8376276
358,13.70523782,8.57261563,12.060952,11.44626848
359,17.11428529,10.76642651,10.8188112,12.899841
360,17.93358184,9.57714455,11.12334248,12.87802296
361,14.04857519,9.57714287,15.8854751,13.17039772
362,14.28643161,7.44499943,16.70500136,12.81214413
363,13.86356927,9.49690683,14.22048827,12.52698812
364,13.15000894,8.33547487,16.30785743,12.59778041
365,12.18071442,8.65262009,17.84547659,12.89293703
