number,lowPre,avPre,highPre
139,9.79747471,17.5951514,24.88247457
140,9.71808067,19.07909085,27.45868692
141,12.44015146,21.06797982,29.08742423
142,12.91191943,20.77040415,27.85141428
143,12.27939394,20.00010104,26.89247468
144,12.45681813,20.09196966,27.03232309
145,12.07272724,20.48358586,28.35762636
146,13.05449514,20.55757596,28.45676789
147,13.07297977,20.54949491,27.26494952
148,13.73813135,20.9426262,28.76171716
149,12.50363636,21.94383826,29.8757069
150,14.52530305,23.41318184,31.75075756
151,14.65505043,23.19757516,31.73459556
152,14.48338345,22.15308018,30.16565649
153,14.24449555,23.53328296,31.75166657
154,17.22888893,24.98111177,31.82959661
155,16.16782817,22.44914144,27.7846464
156,14.51772786,18.68161601,23.93494926
157,11.12313136,19.95070702,27.88449481
158,12.81999997,21.47388871,27.92727242
159,12.87035356,22.13843427,29.56282825
160,12.88106068,21.76510097,28.58020201
161,13.72212125,21.65909076,28.82111094
162,14.16116161,20.52348487,27.14555558
163,12.81050508,20.50510096,27.01974737
164,14.27848435,21.11590923,28.09792942
165,13.91484851,21.77055539,28.04747462
166,13.18747481,22.39934345,29.34858583
167,14.17550512,22.74712119,29.59550505
168,15.23010099,21.51454554,27.36353545
169,16.06444486,22.46181853,28.67267739
170,15.21474746,21.8727273,27.34055544
171,14.61303035,21.88540389,27.28939386
172,14.999899,22.64151511,28.87843446
173,15.02792935,23.08030302,29.711212
174,16.32469667,24.11156532,31.06393914
175,17.62954544,25.64217178,33.12328295
176,18.83813134,27.05388891,34.66540408
177,20.08853556,28.13863634,35.57696972
178,19.70237381,27.49863654,34.12919208
179,17.12363633,26.54196979,33.95671673
180,17.57353538,27.86439386,35.61737378
181,19.47176772,29.27636366,37.00186864
182,19.40237355,28.91585859,36.42282847
183,18.05323206,27.91848482,35.31126258
184,18.7021718,27.13176772,34.20338379
185,20.29575769,27.19792915,33.16535359
186,18.5690404,27.44373725,34.83479806
187,17.96828271,26.28853472,33.96206915
188,17.12813128,25.89176742,33.19984747
189,18.59368678,25.74585866,32.02055587
190,17.92080788,25.81757437,32.95211817
191,17.9269681,27.17610989,35.80954454
192,18.72499867,28.96919257,38.58899186
