number,av2019,av2020,av2021,mean
108,10.3437878,15.33045455,11.03136363,12.23520199
109,10.24757575,14.85727276,13.07303026,12.72595959
110,13.96121212,13.85681821,13.46772727,13.7619192
111,11.80893941,12.3171212,13.16045455,12.42883839
112,13.15954562,12.0163636,13.22272729,12.7995455
113,10.96287883,14.41803021,13.63560612,13.00550505
114,9.16712131,15.34469675,12.35560612,12.28914139
115,10.90393934,16.4768182,11.31909095,12.8999495
116,12.21196972,16.22227273,13.43469695,13.95631313
117,13.47575754,15.54393943,13.50833335,14.17601011
118,16.60060615,13.80409085,13.86954547,14.75808082
119,18.19015154,12.7312122,13.91287881,14.94474752
120,18.9636363,14.03818192,11.74060608,14.91414143
121,18.9624243,14.70378793,11.77621218,15.1474748
122,18.2786367,16.21121193,12.73787896,15.74257586
123,14.79393939,19.32772726,13.08969697,15.73712121
124,13.73924245,21.14439378,13.82090923,16.23484849
125,15.33106063,21.33636385,16.12530279,17.59757576
126,16.65439391,18.51757579,18.81151489,17.99449486
127,17.84015151,16.50439407,20.93712122,18.42722227
128,17.37303034,20.07439403,20.26666646,19.23803028
129,18.0071212,21.640303,15.73636348,18.46126256
130,20.59772708,19.15954546,12.64121203,17.46616152
131,18.8587879,15.97515151,13.44757577,16.09383839
132,18.0024243,15.79378788,15.2040909,16.33343436
133,20.41969646,13.76712123,15.37893928,16.52191899
134,21.3839393,14.39696975,17.44787881,17.74292929
135,23.30803037,12.52924252,20.46772727,18.76833339
136,20.78136378,13.10696968,21.88590926,18.59141424
137,14.53166742,14.58787875,19.78515162,16.30156593
138,13.84000051,16.37757579,18.97257527,16.39671719
139,14.56318177,19.04560609,19.17666626,17.59515137
140,15.42242404,20.63363642,21.1812122,19.07909089
141,19.18469675,21.56848486,22.45075786,21.06797982
142,21.30848503,22.66439345,18.3383339,20.77040413
143,21.54848487,24.46015154,13.99166666,20.00010102
144,19.23242407,25.08742436,15.9560605,20.09196964
145,18.0781818,23.91121218,19.46136381,20.48358593
146,19.51045467,21.83015162,20.33212137,20.55757589
147,20.74621233,20.65621201,20.24606034,20.54949489
148,19.06060642,22.62121211,21.14605996,20.94262616
149,19.08045441,22.94136339,23.80969682,21.94383821
150,21.93378788,22.94409091,25.36166679,23.41318186
151,23.23030267,23.33287851,23.0295452,23.19757546
152,24.39196931,22.1727272,19.89454532,22.15308061
153,26.8204553,22.76924207,21.01015154,23.53328297
154,27.53666718,23.67136397,23.73530418,24.98111178
155,23.95803062,21.14606067,22.24333329,22.44914153
156,18.42181883,18.92151434,18.70151516,18.68161611
157,17.06242399,21.43954562,21.3501512,19.95070694
158,17.30560554,22.43393945,24.68212079,21.47388859
159,20.75575777,18.98499997,26.6745452,22.13843431
160,21.73818156,16.18181848,27.37530289,21.76510098
