number,low2019,low2020,low2021,mean
41,1.96772727,3.56878787,6.60560606,4.047373733
42,2.01818182,4.58878788,5.55681818,4.05459596
43,-1.32863636,9.96818182,8.48621212,5.70858586
44,-2.18636364,9.235,2.20681818,3.085151513
45,-2.18636364,4.14090909,0.84166667,0.932070707
46,-1.83318182,0.53727273,3.05712121,0.587070707
47,-0.63909091,1.22863638,3.32333332,1.30429293
48,-2.45545455,3.445,3.45166667,1.48040404
49,0.31954546,3.07378788,0.96560607,1.452979803
50,1.39590909,0.26878788,0.84136363,0.835353533
51,0.33636363,-1.66454546,4.33681818,1.002878783
52,-0.35318182,-0.97515152,7.40545454,2.025707067
53,-1.74909091,-1.21984849,2.91333333,-0.018535357
54,-1.76621213,0.04969697,-0.18545455,-0.633989903
55,2.355,0.23575757,1.69136364,1.427373737
56,0.87424242,2.98742426,3.50348487,2.455050517
57,1.11848485,6.03318183,3.2328788,3.46151516
58,1.48030304,0.57045454,1.08499999,1.045252523
59,1.6489394,2.63242424,3.23454545,2.50530303
60,0.95848485,6.03560607,7.00166667,4.66525253
61,2.19742424,8.14969697,7.53090911,5.95934344
62,1.56469697,6.02030303,5.68924242,4.424747473
63,8.14227273,7.70015153,1.7869697,5.876464653
64,9.81651515,12.4569697,2.98272728,8.418737377
65,7.06363637,11.77469697,8.08272728,8.973686873
66,2.91878788,6.49560608,5.89181818,5.102070713
67,3.24136363,0.42863636,5.13439393,2.934797973
68,1.58999997,-0.19257576,2.88757574,1.428333317
69,3.32636365,4.63818181,-1.69757574,2.088989907
70,6.72318182,3.40166666,4.63954546,4.921464647
71,3.55030302,4.81439395,5.70636366,4.690353543
72,6.64818183,7.45681818,-0.56393939,4.513686873
73,0.14242426,8.44424246,-0.59818183,2.662828297
74,0.81454545,7.51454546,0.99257574,3.107222217
75,1.53045448,5.56333338,4.50424236,3.866010073
76,2.6712121,3.34227271,6.82545454,4.27964645
77,4.05090908,5.05909087,3.30924243,4.13974746
78,6.0256061,8.25984849,2.45515152,5.580202037
79,1.33696963,9.29409085,0.45424242,3.695100967
80,-0.5810606,7.67924241,-1.78227272,1.771969697
81,-0.3783334,6.99636363,-0.94999996,1.889343423
82,2.36772731,5.77409093,-0.24424242,2.632525273
83,4.18439391,8.13363634,0.69727272,4.338434323
84,6.80848484,9.51212123,1.10181813,5.807474733
85,6.16924245,6.87560606,4.36106059,5.8019697
86,1.825303,3.51151511,7.10303029,4.146616133
87,1.56378788,1.73257573,4.57121209,2.622525233
88,-0.14469692,-1.18590908,5.64666668,1.438686893
89,2.22833339,0.40242427,5.89045458,2.84040408
90,7.86893941,1.68181821,5.43818184,4.996313153
91,9.45348488,3.214394,9.85742413,7.508434337
92,7.40530311,7.11060623,11.10121217,8.539040503
93,3.43469698,0.80651514,5.9086364,3.38328284
94,1.28712129,1.07499996,3.09136368,1.81782831
95,2.62893942,2.23787866,4.72242438,3.196414153
96,3.48621206,8.53681814,3.30893931,5.110656503
97,4.76378778,12.32090913,5.09227263,7.39232318
98,7.00939367,10.73999999,8.78060593,8.843333197
99,7.58287876,9.96636365,8.57969697,8.70964646
100,7.23772734,10.85772724,8.89151539,8.995656657
101,3.19106059,10.45409092,7.34151517,6.99555556
102,1.62212119,11.5472728,2.83696941,5.335454467
103,2.65772723,9.46181819,7.17787854,6.432474653
104,6.96015155,7.96530305,11.4648485,8.7967677
105,8.97318184,8.48590905,11.99454556,9.817878817
106,5.21030313,8.82242432,8.01393921,7.348888887
107,8.99090906,10.31136356,1.68939402,6.997222213
108,9.63818178,11.00969703,2.23727262,7.62838381
109,9.24378785,8.789394,6.33787878,8.123686877
110,10.32833338,9.89787879,8.63651514,9.620909103
111,8.38409096,6.15257582,7.81757576,7.45141418
112,7.13666647,9.22666671,9.56272723,8.642020137
113,7.75439394,10.33621216,8.89030305,8.993636383
114,7.01121226,10.26833299,8.28439404,8.521313097
115,7.67818177,9.75606063,9.54515153,8.99313131
116,6.20181821,9.92515154,9.26833317,8.465100973
117,4.65606065,11.53136377,9.30318177,8.49686873
118,8.63757578,9.12424238,10.23621206,9.33267674
119,9.73045453,6.52151509,11.24287899,9.164949537
120,9.2846969,7.7177273,5.55424244,7.51888888
121,9.63863631,11.67303032,5.48909087,8.933585833
122,12.09545481,9.132424,8.16772728,9.798535363
123,8.51969718,9.68833327,8.85575758,9.021262677
124,4.5625754,11.4318181,5.96590905,7.32010085
125,5.6969698,13.4706062,6.77454537,8.64737379
126,3.92363638,11.23015188,8.64636358,7.933383947
127,11.22833334,6.00030312,9.24378795,8.82414147
128,14.51984862,10.37090914,10.84121212,11.91065663
129,13.44893946,13.17590906,11.14212119,12.5889899
130,15.84878778,13.25878793,6.53984847,11.88247473
131,10.23545452,11.49681817,8.53712128,10.08979799
132,8.6713636,12.16954545,9.15045442,9.997121157
133,8.52030304,11.04272717,7.57757565,9.04686862
134,8.36787894,10.92500001,9.76424238,9.68570711
135,10.68969691,10.11772729,11.53136344,10.77959588
136,12.44727276,9.66333344,14.36924245,12.15994955
137,10.8162121,10.37015162,12.38878883,11.19171752
138,9.56318261,7.561818,9.80590898,8.976969863
139,9.46878814,9.16772721,10.75590883,9.797474727
140,7.33863634,11.62257589,10.19302989,9.718080707
141,11.5421211,11.9586365,13.81969695,12.44015152
142,10.74136342,11.741212,16.25318311,12.91191951
143,14.03393936,12.76318183,10.0410607,12.27939396
144,15.16712169,14.99999967,7.20333298,12.45681811
145,9.47818174,16.37909081,10.36090915,12.07272723
146,9.39469677,17.22000018,12.54878837,13.05449511
147,12.44848483,14.31045457,12.45999999,13.0729798
148,12.37515175,14.86545488,13.97378764,13.73813142
149,10.71454515,13.21727282,13.57909119,12.50363639
150,12.4481817,13.13348485,17.9942424,14.52530298
151,11.69484812,15.30227263,16.96803065,14.65505047
152,12.24075749,16.41242412,14.79696951,14.48338371
153,15.15924349,14.52121229,13.05303066,14.24449548
154,18.15469668,16.24500055,17.28696959,17.22888894
155,17.96530303,14.07484848,16.4633333,16.16782827
156,14.03348558,13.61075673,15.90894026,14.51772752
157,8.83075761,11.76727267,12.77136349,11.12313126
158,9.7210601,14.00030381,14.73863622,12.82000004
159,9.20090784,13.70424358,15.70590892,12.87035345
160,12.91136363,9.88136382,15.85045454,12.88106066
161,13.70545437,8.33484863,19.12606027,13.72212109
162,13.02136384,11.54893927,17.91318194,14.16116168
163,6.89287857,16.09287909,15.44575741,12.81050502
164,12.19696828,11.97575704,18.66272753,14.27848428
165,12.29984919,10.66363633,18.78106046,13.91484866
